year,1,2,3,4,5,6,7,8,9,10,11,12
1983,1.928554723,1.782036977,5.398533076,49.72561119,61.24347199,15.18810545,14.2508755,10.49105924,11.11405486,26.38203096,12.00726791,6.615568479
1984,1.658516223,1.576838307,5.716562523,44.5096522,52.43468947,20.26285772,12.37928918,5.89014598,15.89243132,30.65909716,29.9521351,6.460048539
1985,1.777559251,1.646866079,20.71230212,78.7686815,57.76329186,7.077300307,13.66769569,9.944174316,12.60878881,25.44337406,23.83033204,5.075479287
1986,1.697153623,1.664740477,8.301366202,91.97852394,64.20702509,15.49150569,10.69223335,7.384495853,13.14213818,16.46837129,19.11673485,8.195374646
1987,2.071808228,1.471275889,9.118462566,37.49976807,139.683602,12.1980745,9.080742399,12.98892701,11.72647345,57.91495656,21.2335294,4.627851074
1988,2.204884423,1.745343841,11.88792618,119.9832781,20.44053545,18.34903548,12.88503704,8.704094807,20.13237478,24.79268811,16.72491431,7.188123861
1989,1.993254992,1.653607869,15.01124817,72.49956007,63.63742889,10.99454273,10.0864305,8.461801721,18.40380601,56.70169296,53.27341588,9.209004956
1990,1.769380998,2.764971969,22.08017351,111.4813505,28.12278388,7.118596249,9.541127436,7.802858566,10.61677448,43.49210565,25.69643152,19.0995998
1991,1.815114042,1.606844774,18.02468588,54.88003503,82.8680995,9.248376602,19.3004088,8.459768602,10.55352735,22.62537053,11.22085803,11.23511891
1992,2.034643733,1.701945289,7.409045638,41.87875703,43.31933457,13.93884637,14.06272818,9.588922177,14.08295672,32.06812785,30.89085845,20.99606135
1993,2.611989759,1.662117235,6.840237548,38.30613602,84.83135183,11.63803879,10.45995785,8.20971667,11.4537475,43.95107616,22.1708663,8.842010779
1994,1.73205127,1.574743967,7.099421692,75.40397013,76.93626011,10.90137077,12.27590648,9.247408444,15.63784737,59.22874008,65.48041854,7.920248482
1995,1.738329663,1.682773533,16.31909832,72.74875677,41.40504474,10.9635581,14.57166171,10.27791325,11.36465735,54.31066199,21.27029072,10.40059869
1996,2.099082469,1.68446596,11.75885806,41.72810295,76.99637532,12.28452848,12.20197467,9.064406055,11.87966507,18.48768309,22.3567886,4.554929739
1997,1.792949514,1.557752424,19.77578518,104.5596615,33.78781526,24.4306432,16.46780745,9.601730392,15.05342143,214.4696132,114.6947875,26.27800534
1998,4.346900786,1.807947901,9.393807226,62.84043193,72.06951491,14.8919534,11.72493036,8.998916735,11.54228487,29.2525631,21.9753492,5.260727908
1999,1.756201244,1.534418196,17.47186041,42.05279283,31.87416804,10.52456749,13.50080812,11.06411225,13.10439126,49.33228938,33.14401177,15.47519022
2000,1.765952885,1.459080364,5.809969699,43.13748838,61.83394144,9.44114519,10.85757836,9.575897256,13.91063315,78.27036603,24.86381144,6.341151964
2001,1.564607927,1.446702128,9.046212962,52.91448482,44.73858224,9.844366861,12.29533818,9.373513814,13.90908331,46.54864615,24.97116209,7.960055642
2002,1.92299357,1.395886335,10.13732879,91.51115655,32.04639631,11.58692211,11.5149756,8.624976141,18.55123496,79.66116953,33.12815066,16.62012256
2003,1.486372998,1.567787439,8.402547113,78.9757931,56.27736713,14.20633093,12.02160696,10.55883056,11.82582417,25.88035174,34.88162747,17.63183573
2004,1.877807542,1.418085428,6.636975332,61.13539338,26.82251235,13.97822426,11.8794778,8.119775045,14.0102559,74.16823617,53.3368018,7.840338224
2005,1.60628912,1.472453127,8.816255139,59.49510217,75.99571357,10.11497424,13.56154044,8.1602441,10.98717144,26.46350231,18.02901539,3.768068691
2006,1.546170528,1.531907289,9.030332805,81.15769545,42.71516158,12.79287448,11.05453249,11.72154127,15.48897818,108.1493202,59.9978768,17.29213604
2007,1.578924727,1.654233601,10.30390061,51.27652973,61.44264503,21.36846299,12.94150139,12.61963406,23.67742241,56.09995126,34.3148843,5.322506628
2008,1.908163992,1.435059045,7.288210024,43.73046777,59.84653004,14.77810716,12.41975963,9.255355057,15.80166584,60.6062242,24.70536147,3.858697445
2009,1.757630746,1.921522042,7.473868348,43.37012257,53.13628725,11.17433133,11.57570876,7.50111668,12.35547343,96.95855542,16.81056314,11.49353478
2010,1.468401968,2.994294266,30.68534785,80.34434578,73.57287586,13.95885312,13.73490973,9.815026325,13.7046841,22.34232817,12.53939117,4.552940925
2011,1.496959404,1.420251338,5.275610609,25.88956524,68.29079037,9.900613404,14.73068639,11.6742816,13.95675747,106.1439851,61.31656533,12.25450145
2012,1.473989591,1.586460469,5.459932135,62.39533421,69.28275922,11.24835148,11.82547149,10.46223452,15.70659439,76.29406856,27.04543676,12.03443856
2013,1.851010522,1.541410384,38.18306956,103.8623577,44.49824999,8.898077172,13.64660384,8.780983991,16.46840184,76.11389273,42.85692021,6.214578836
2014,1.744396262,1.879146708,11.11025137,45.56476145,75.363364,14.30097956,12.41435754,12.54665754,14.97066072,47.99823173,35.54271309,5.301223859
2015,1.761264414,1.563836385,18.61697184,77.83387168,47.15324026,11.7615463,12.30800526,8.889824207,12.41283408,73.34807617,45.51307731,8.649741483
2016,1.874362454,2.313872086,5.224465988,60.11082334,51.61361409,12.61991378,8.933210659,8.012787646,7.416344771,19.1999652,22.35891172,11.68634739
2017,1.615697074,1.655989737,6.323849262,42.35459571,66.31420041,9.544350961,9.428767352,9.801356192,18.32744119,32.49948804,51.11149491,2.952468714
2018,1.725463588,1.55385689,19.53009005,101.0959146,92.50424413,10.87200676,10.91586629,9.820087226,12.58522982,35.13678795,18.29452671,25.60908359
2019,1.747917824,1.404764071,5.999700972,27.34288924,86.13360143,16.1989374,11.14024677,10.56869014,19.05286534,111.1713764,88.22614612,21.3863169
2020,2.559846244,1.915549986,31.79166776,99.52663433,42.77262563,13.76371765,20.28115649,11.82587932,20.24844271,44.93576891,20.85385974,5.287641921
2021,1.74922639,1.388604956,6.289467643,55.7270281,61.4828137,8.776156504,10.63377857,12.06447996,15.92675293,29.20579102,16.32365387,13.28581998
2022,1.965257523,1.411084514,8.889864075,31.75435001,39.73401206,14.75851951,11.80632718,9.939198746,14.58474814,41.50303906,25.92107823,10.5528407
